CLIENTNUM,review,sentiment_label,sentiment_score,sentiment_numeric,nps_category,nps_summary,nps_value
771795933,"Unable to make a payment from another credit card to close the balance because the card number is too long. I could only make a payment via DD, which I DON'T want to do. There is no information about this on their website. Can't wait to close this thing down. Customer Service - took me 10 min to go through security, clueless staff. Website appalling, no point using it as all managed by the app, which is painfully slow, not working most of the time and very limited.",NEGATIVE,0.9996494054794312,-0.9996494054794312,Detractor,93.66812227074236,0
713390433,I have had an argos card for years and have never had a problem always used buy now pay later and always paid on time because I'm very organised. However yesterday I had an email off then saying they had started a credit plan and my first payment was coming out on 25th and it was for a very shocking ammount of money. I originally thought it was fraud so I phoned up argos to then find it was a purchase I made last year that I hadn't paid off. Having looked back through my bank statements it looks like this wasn't paid however I had paid other stuff off on there more recently and cleared the card so I would have noticed the outstanding payment and paid it off. I think argos didn't show that I had this left to pay until my year was up then automatically charged me. I have no proof of any of this though because they send no emails all I have is an email of me ordering it and then my bank statement to show I never paid it but I have no proof of them not showing the outstanding payment in the app so I haven't been able to take this further. I have unfortunately had to pay the ammount and once it's all gone through I will be cancelling my argos card and never using again. It is a shame because I did enjoy using it but I believe they have conned me out of money.,NEGATIVE,0.9980560541152954,-0.9980560541152954,Detractor,93.66812227074236,0
712841883,They wrote to say they suspended my account card. Dont remember getting a previous letter. I dont care. I dont want to use it anymore. Its getting the payment down thats the issue. Stupid young woman in Argos should never have thrust it at me. So they blame me for the debt. They slap on high interest. Im paying extra what I can. Wish I had a lottery win to pay it off.,NEGATIVE,0.9993553757667542,-0.9993553757667542,Detractor,93.66812227074236,0
721243083,I Spoke with them twice this week both times the call handler was unfriendly and unhelpful.,NEGATIVE,0.9968955516815186,-0.9968955516815186,Detractor,93.66812227074236,0
787921383,went on the phone talk to 3 different people at the customer service at Argos credit card about my card payment . All of them customer service is very poor Not freindly no helpful . 3 of them the same .,NEGATIVE,0.9994181394577026,-0.9994181394577026,Detractor,93.66812227074236,0
710047533,Customer service number not working properly can not make a payment.,NEGATIVE,0.9997968077659607,-0.9997968077659607,Detractor,93.66812227074236,0
789684258,"They say buy now pay later with no interest, when you pay after the year they will claim huge amount of interest for that year, they will take the money without even telling you or sending you an email, when you ask they will say it is the interest for that year. They are very cunning beware.",NEGATIVE,0.9571470618247986,-0.9571470618247986,Detractor,93.66812227074236,0
716124408,"Unable to make a payment from another credit card to close the balance because the card number is too long. I could only make a payment via DD, which I DON'T want to do. There is no information about this on their website. Can't wait to close this thing down. Customer Service - took me 10 min to go through security, clueless staff. Website appalling, no point using it as all managed by the app, which is painfully slow, not working most of the time and very limited.",NEGATIVE,0.9996494054794312,-0.9996494054794312,Detractor,93.66812227074236,0
807393558,"App not working. This is the ONLY way to manage your Argos card. Unable to see balance, make payment or even open the app it just sits with a spinner.",NEGATIVE,0.9997783303260803,-0.9997783303260803,Detractor,93.66812227074236,0
716425833,They try to find any excuse to close the card when late payment & the interest is very high . AVOID!!,NEGATIVE,0.999804675579071,-0.999804675579071,Detractor,93.66812227074236,0
816378033,They are awful & no manners or sympathy. They talk down to you & have arrogant attitude.,NEGATIVE,0.9993801116943359,-0.9993801116943359,Detractor,93.66812227074236,0
